backbone,chip,mask_ratio,trial,trial_seed,summer_masked,block_psnr,random_psnr,delta_rand_minus_block
600M,chip_054_264_merged.tif,0.8,3,2115142381,208,32.3243,38.0069,5.6826
600M,chip_054_264_merged.tif,0.8,4,1734535750,208,36.0466,37.1361,1.0896
600M,chip_055_200_merged.tif,0.2,0,2141417232,50,39.7211,42.7776,3.0565
600M,chip_055_200_merged.tif,0.2,1,1661471714,50,40.6708,42.4174,1.7466
600M,chip_055_200_merged.tif,0.2,2,1280865083,50,40.4302,42.7795,2.3493
600M,chip_055_200_merged.tif,0.2,3,800919565,50,40.0115,42.5392,2.5277
600M,chip_055_200_merged.tif,0.2,4,420312934,50,41.6497,42.5458,0.8961
600M,chip_055_200_merged.tif,0.4,0,1076142162,100,39.6136,42.4404,2.8268
600M,chip_055_200_merged.tif,0.4,1,695535531,100,39.5943,42.1086,2.5143
600M,chip_055_200_merged.tif,0.4,2,215590013,100,39.9005,42.0723,2.1718
600M,chip_055_200_merged.tif,0.4,3,1982467030,100,39.909,42.3166,2.4076
600M,chip_055_200_merged.tif,0.4,4,1502521512,100,39.0686,42.1646,3.096
600M,chip_055_200_merged.tif,0.6,0,1138164805,154,40.2625,41.1423,0.8798
600M,chip_055_200_merged.tif,0.6,1,757558174,154,40.1195,41.7922,1.6727
600M,chip_055_200_merged.tif,0.6,2,277612656,154,40.3196,41.6689,1.3493
600M,chip_055_200_merged.tif,0.6,3,2044489673,154,38.7582,42.6012,3.843
600M,chip_055_200_merged.tif,0.6,4,1663883042,154,40.1593,42.0599,1.9006
600M,chip_055_200_merged.tif,0.8,0,754911496,208,39.3772,40.939,1.5618
600M,chip_055_200_merged.tif,0.8,1,274965978,208,37.9431,39.8822,1.9392
600M,chip_055_200_merged.tif,0.8,2,2041842995,208,38.8499,40.4434,1.5934
600M,chip_055_200_merged.tif,0.8,3,1561897477,208,38.2624,40.2833,2.0208
600M,chip_055_200_merged.tif,0.8,4,1181290846,208,37.9427,40.1638,2.2211
