tile,mask_type,ratio,trial,mae,rmse,psnr,mae_tailexcl,rmse_tailexcl,psnr_tailexcl,o2a_mae,o2a_n_masked,tail_mae,tail_n_masked,tile_radiance_min,tile_radiance_max
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.2,46,0.003951378599647205,0.004486026943913777,46.9627624458326,0.003951378599647205,0.004486026943913777,46.9627624458326,nan,0,nan,0,0.0017520143883302808,0.4716784954071045
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.2,47,0.022252720720101978,0.037298147339763145,28.56625479551541,0.022252720720101978,0.037298147339763145,28.56625479551541,0.08769757869705927,7,nan,0,0.0017520143883302808,0.4716784954071045
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.2,48,0.015687137794994834,0.020347954184544284,33.829584977941636,0.015687137794994834,0.020347954184544284,33.829584977941636,nan,0,nan,0,0.0017520143883302808,0.4716784954071045
PACE_OCI.20250228T112333.L1B.V3_image_139,contiguous,0.2,49,0.022281865958209204,0.031477655097804716,30.03995255041111,0.022281865958209204,0.031477655097804716,30.03995255041111,0.07117452795520446,7,nan,0,0.0017520143883302808,0.4716784954071045
PACE_OCI.20250228T112333.L1B.V3_image_139,scattered,0.2,0,0.0016290784262674774,0.003710073672435796,48.61234932675753,0.0015522378796504308,0.0036736862029405457,48.69795885582225,0.00483790386101687,5,0.003780613731544789,2,0.0017520143883302808,0.4716784954071045
PACE_OCI.20250228T112333.L1B.V3_image_139,scattered,0.2,1,0.003092911416685382,0.015471152312088732,36.20954676525728,0.001118162464335694,0.002641884321366312,51.56172405004037,0.008959744024441194,2,0.11565360170061763,1,0.0017520143883302808,0.4716784954071045
PACE_OCI.20250228T112333.L1B.V3_image_139,scattered,0.2,2,0.0011215130548794692,0.002386957993881734,52.44310447437593,0.0010360951066758107,0.0022416169775767523,52.98877185565586,0.00881592370848762,1,0.005990336102488004,1,0.0017520143883302808,0.4716784954071045
PACE_OCI.20250228T112333.L1B.V3_image_139,scattered,0.2,3,0.0011272422935644667,0.002389003067923141,52.4356658507016,0.0010722210566975628,0.002297487638131051,52.7749363340354,0.009768854158039512,1,0.004263452794977987,1,0.0017520143883302808,0.4716784954071045
PACE_OCI.20250228T112333.L1B.V3_image_139,scattered,0.2,4,0.0034544339176901693,0.015847692846481142,36.000679094129,0.0014033574632642018,0.003679014337541564,48.68537039340164,0.017805132357728667,2,0.06088457464161726,2,0.0017520143883302808,0.4716784954071045
PACE_OCI.20250228T112333.L1B.V3_image_139,scattered,0.2,5,0.001072461995098724,0.0019700617919690896,54.11040303524189,0.0010724619950987237,0.0019700617919690896,54.11040303524189,nan,0,nan,0,0.0017520143883302808,0.4716784954071045
PACE_OCI.20250228T112333.L1B.V3_image_139,scattered,0.2,6,0.0006391014718772249,0.0013946837962302537,57.110484896100985,0.000639101471877225,0.0013946837962302537,57.110484896100985,0.00023741075813135353,1,nan,0,0.0017520143883302808,0.4716784954071045
PACE_OCI.20250228T112333.L1B.V3_image_139,scattered,0.2,7,0.008668213280223888,0.037320083127544326,28.56114795135449,0.0018414935492106937,0.004077815489119544,47.791448576896144,0.008959744024441194,2,0.13382474168213246,3,0.0017520143883302808,0.4716784954071045
PACE_OCI.20250228T112333.L1B.V3_image_139,scattered,0.2,8,0.0011377269684354444,0.0023397528046071167,52.61660046945486,0.0010490044028697732,0.0022268034065068003,53.04636245984039,nan,0,0.003621958804274242,2,0.0017520143883302808,0.4716784954071045
